symbol,company_name
BHARATGEAR,BHARATGEAR
BHARATRAS,BHARATRAS
BHARATSE,BHARATSE
BHARATWIRE,BHARATWIRE
BHARTIARTL,BHARTIARTL
BHARTIHEXA,BHARTIHEXA
BHEL,BHEL
BIGBLOC,BIGBLOC
BIKAJI,BIKAJI
BIL,BIL
BIOCON,BIOCON
BIOFILCHEM,BIOFILCHEM
BIRLACABLE,BIRLACABLE
BIRLACORPN,BIRLACORPN
BIRLAMONEY,BIRLAMONEY
BIRLANU,BIRLANU
BLACKBUCK,BLACKBUCK
BLAL,BLAL
BLBLIMITED,BLBLIMITED
BLISSGVS,BLISSGVS
BLKASHYAP,BLKASHYAP
BLS,BLS
BLSE,BLSE
BLUECOAST,BLUECOAST
BLUEDART,BLUEDART
BLUEJET,BLUEJET
BLUESTARCO,BLUESTARCO
BLUESTONE,BLUESTONE
BLUSPRING,BLUSPRING
BMWVENTLTD,BMWVENTLTD
BODALCHEM,BODALCHEM
BOHRAIND,BOHRAIND
BOMDYEING,BOMDYEING
BOROLTD,BOROLTD
BORORENEW,BORORENEW
BOROSCI,BOROSCI
BOSCH-HCIL,BOSCH-HCIL
BOSCHLTD,BOSCHLTD
BPCL,BPCL
BPL,BPL
BRIGADE,BRIGADE
BRIGHOTEL,BRIGHOTEL
BRITANNIA,BRITANNIA
BRNL,BRNL
BROOKS,BROOKS
BSE,BSE
BSE500IETF,BSE500IETF
BSHSL,BSHSL
BSL,BSL
BSLGOLDETF,BSLGOLDETF
BSLNIFTY,BSLNIFTY
BSLSENETFG,BSLSENETFG
BSOFT,BSOFT
BTML,BTML
BUILDPRO,BUILDPRO
BUTTERFLY,BUTTERFLY
BVCL,BVCL
BYKE,BYKE
CALSOFT,CALSOFT
CAMLINFINE,CAMLINFINE
CAMPUS,CAMPUS
CAMS,CAMS
CANBK,CANBK
CANFINHOME,CANFINHOME
CANHLIFE,CANHLIFE
CANTABIL,CANTABIL
CAPACITE,CAPACITE
CAPILLARY,CAPILLARY
CAPITALSFB,CAPITALSFB
