Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
05 FEB 2026,AAKASH,EQ,AAKASH EXPLORATION SER L ,Listed    ,05 FEB 2026,               1.00,         101250000,              7.90,      800887500.00    
05 FEB 2026,AARADHYA,SM,AARADHYA DISPOSAL INDUS L,Listed    ,05 FEB 2026,              10.00,          14138000,            114.00,     1611732000.00  
05 FEB 2026,AAREYDRUGS,EQ,AAREY DRUGS & PHARM LTD  ,Listed    ,05 FEB 2026,              10.00,          28354303,             65.60,     1860325819.85
05 FEB 2026,AARON,EQ,AARON INDUSTRIES LIMITED ,Listed    ,05 FEB 2026,              10.00,          20946478,            164.15,     3438573828.50     
05 FEB 2026,AARTECH,EQ,AARTECH SOLONICS LIMITED ,Listed    ,05 FEB 2026,               5.00,          31770376,             46.30,     1470333001.30   
05 FEB 2026,AARTIDRUGS,EQ,AARTI DRUGS LTD.         ,Listed    ,05 FEB 2026,              10.00,          91270000,            374.90,    34217123000.00
05 FEB 2026,AARTIIND,EQ,AARTI INDUSTRIES LTD     ,Listed    ,05 FEB 2026,               5.00,         362593869,            453.60,   164472578978.40  
05 FEB 2026,AARTIPHARM,EQ,AARTI PHARMALABS LIMITED ,Listed    ,05 FEB 2026,               5.00,          90647294,            783.35,    71008557754.90
05 FEB 2026,AARTISURF,EQ,AARTI SURFACTANTS LIMITED,Listed    ,05 FEB 2026,              10.00,           8458495,            421.35,     3563986868.25 
05 FEB 2026,AARVI,EQ,AARVI ENCON LIMITED      ,Listed    ,05 FEB 2026,              10.00,          14810700,            127.75,     1892363139.00     
05 FEB 2026,AATMAJ,SM,AATMAJ HEALTHCARE LIMITED,Listed    ,05 FEB 2026,               5.00,          22600000,             21.75,      491550000.00    
05 FEB 2026,AAVAS,EQ,AAVAS FINANCIERS LIMITED ,Listed    ,05 FEB 2026,              10.00,          79179511,           1379.50,   109228135424.50     
05 FEB 2026,ABAN,BE,ABAN OFFSHORE LTD.       ,Listed    ,05 FEB 2026,               2.00,          58365323,             20.65,     1204076613.50      
05 FEB 2026,ABB,EQ,ABB INDIA LIMITED        ,Listed    ,05 FEB 2026,               2.00,         211908375,           5770.00,  1222711323750.00       
05 FEB 2026,ABBOTINDIA,EQ,ABBOTT INDIA LIMITED     ,Permitted ,05 FEB 2026,              10.00,          21249302,          27215.00,   578299753930.00
05 FEB 2026,ABCAPITAL,EQ,ADITYA BIRLA CAPITAL LTD.,Listed    ,05 FEB 2026,              10.00,        2617145082,            344.65,   901999052511.30 
05 FEB 2026,ABCOTS,EQ,A B COTSPIN INDIA LIMITED,Listed    ,05 FEB 2026,              10.00,          21963620,            424.25,     9318065785.00    
05 FEB 2026,ABDL,EQ,ALLIED BLEND N DISTILS L ,Listed    ,05 FEB 2026,               2.00,         279710151,            514.95,   144036742257.45      
05 FEB 2026,ABFRL,EQ,ADITYA BIRLA FASHION & RT,Listed    ,05 FEB 2026,              10.00,        1220492475,             70.90,    86520711552.75     
05 FEB 2026,ABHAPOWER,SM,ABHA POWER N STEEL LTD   ,Listed    ,04 FEB 2026,              10.00,          18587830,             34.25,      636633177.50 
05 FEB 2026,ABINFRA,EQ,A B INFRABUILD LIMITED   ,Listed    ,05 FEB 2026,               1.00,         638789360,             21.00,    13408188666.40   
05 FEB 2026,ABLBL,EQ,ADITYA BIRLA LIFES BRAN L,Listed    ,05 FEB 2026,              10.00,        1220504009,            114.10,   139247302386.80     
05 FEB 2026,ABMINTLLTD,EQ,ABM INTERNATIONAL LTD    ,Listed    ,05 FEB 2026,              10.00,           9408000,             41.75,      392784000.00
05 FEB 2026,ABNINT,IT,A B N INTERCORP LIMITED  ,Listed    ,Not Traded ,              10.00,            419532,            200.00,       83906400.00    
05 FEB 2026,ABREL,EQ,ADITYA BIRLA REAL EST LTD,Listed    ,05 FEB 2026,              10.00,         111695680,           1303.50,   145595318880.00     
05 FEB 2026,ABSLAMC,EQ,ADIT BIRL SUN LIF AMC LTD,Listed    ,05 FEB 2026,               5.00,         288777425,            809.75,   233837519893.75   
